184,528,0.783,68
176,552,0.806,69
184,552,0.706,67
176,552,0.69,66
176,552,0.709,66
184,536,0.786,68
184,544,0.811,68
176,544,0.7,68
176,544,0.674,67
200,528,0.64,68
176,512,0.59,70
176,528,0.559,73
168,536,0.638,73
232,472,0.651,74
152,560,0.607,72
168,544,0.731,75
200,536,0.85,73
184,528,0.821,74
192,520,0.789,76
120,952,0.166,70
160,536,0.761,76
168,528,0.757,75
168,520,0.606,71
184,520,0.5,65
184,520,0.465,61
184,520,0.783,68
176,552,0.806,69
184,552,0.706,67
176,552,0.69,66
176,552,0.709,66
184,536,0.786,68
184,544,0.811,68
176,544,0.7,68
176,544,0.674,67
200,528,0.64,68
176,512,0.59,70
176,528,0.559,73
168,536,0.638,73
232,472,0.651,74
152,560,0.607,72
168,544,0.731,75
200,536,0.85,73
184,528,0.821,74
192,520,0.789,76
120,952,0.166,70
160,536,0.761,76
168,528,0.757,75
168,520,0.606,71
184,520,0.5,65
184,520,0.465,61
